date,title,content
2020-05-21,«Дочки» системообразующих компаний смогут получить льготные кредиты,
2020-05-21,Softbank Group намерена продать часть своих акций в Softbank Corp,
2020-05-21,Силуанов: временная отмена бюджетного правила не рассматривается,
2020-05-22,«Трансконтейнер» закрыл сделку по продаже казахстанского «Кедентранссервиса»,
2020-05-24,Госдолг Франции к концу года может превысить 115% от ВВП страны,
2020-05-25,Спрос на нефть в России вырос в мае на 20%,
2020-05-25,В Москве могут разрешить открыть летние веранды при кафе и ресторанах,
2020-05-25,"Bloomberg: Fiat Chrysler близок к получению кредита на €6,3 млрд",
2020-05-26,Warner Music объявила о начале IPO,
2020-05-26,«Опора России» предлагает снизить НДС до 10% для ряда отраслей,
2020-05-26,ЕЦБ: эпидемия резко повысила риски финансовой стабильности в еврозоне,
2020-05-27,В России стали чаще сталкиваться с программами для слежки,
2020-05-27,Путин и бен Сальман договорились о координации в вопросах ограничения нефтедобычи,
2020-05-27,В Москве трем аптечным сетям разрешили дистанционную торговлю,
2020-05-27,Индия и Россия обсуждают условия кредита в $1 млрд на развитие Дальнего Востока,
2020-05-27,Moody's понизило среднесрочный прогноз цен на нефть до $45–65 за баррель,
2020-05-27,Акции General Electric выросли на 7% после объявления о продаже подразделения по производству лампочек,
2020-05-27,"Boeing объявила о сокращении 6,8 тыс. сотрудников",
2020-05-27,Ralph Lauren заявил о восстановлении продаж в Китае,
2020-05-27,Умер бывший вице-президент ЛУКОЙЛа Сергей Малюков,
2020-05-28,Власти Москвы допустили открытие кафе и ресторанов на следующем этапе снятия ограничений,
2020-05-28,Amazon переведет большинство временных сотрудников на постоянную работу,
2020-05-28,WSJ: American Airlines сократит 30% менеджеров и административного персонала,
2020-05-28,«Вкусвилл» открыл первый магазин за рубежом,
2020-05-28,Автоконцерн PSA Groupe обеспечит сотрудников масками собственного производства,
2020-05-29,ФНС: субсидии на зарплаты получили более 600 тыс. компаний и предпринимателей,
2020-05-29,ВВП Канады рухнул в апреле на 11%,
2020-05-31,Правительство представит 1 июня план по восстановлению экономики,
2020-05-31,Казино Лас-Вегаса возобновляют работу,
2020-06-01,Наблюдательный совет Lufthansa одобрил условия правительственной помощи,
2020-06-01,Индекс деловой активности в промышленности США в мае вырос в сравнении с апрелем,
2020-06-01,Генпрокуратура поручила провести ревизию госконтрактов в части долгов перед бизнесом,
2020-06-02,План восстановления экономики доработают с учетом мнения бизнеса и экспертов,
2020-06-02,РБК: Роспотребнадзор раскритиковал систему ваучеров вместо возврата денег за билеты,
2020-06-02,EasyJet к августу планирует восстановить авиасообщение по 75% направлений,
2020-06-02,В Госдуму внесли законопроект о закреплении в трудовом договоре условий удаленки,
2020-06-03,Американские компании обеспокоены вмешательством Китая в дела Гонконга,
2020-06-04,Продажи автомобилей в Британии упали в мае на 89%,
2020-06-04,РБК: в Москве задержан глава РВК Повалко,
2020-06-04,Минфин предложил лишить возможности выводить дивиденды в офшоры без налогов,
2020-06-04,Европейские страны запустят собственную облачную платформу Gaia-X,
2020-06-05,Путин подчинил Ростуризм напрямую правительству,
2020-06-05,Bombardier сократит 11% рабочих мест в авиационном подразделении,
2020-06-05,РФПИ с партнерами помогут пострадавшим от коронавируса компаниям,
2020-06-05,"Польша хочет повысить тариф на транзит российского газа на 16,5%",
2020-06-07,British Airways грозит судом правительству Великобритании,
2020-06-07,"Financial Times: Саудовская Аравия не снизит закупку оружия, несмотря на кризис",
2020-06-08,"Минэкономики ожидает инфляцию в июне до 3,2% в годовом выражении",
2020-06-08,Стоимость нефти Urals превысила цену отсечения в бюджете,
2020-06-08,LetterOne Фридмана продала долю в Uber с убытком,
2020-06-08,BP сократит 10 тыс. сотрудников,
2020-06-09,Власти Москвы ожидают восстановления городской экономики к июлю,
2020-06-09,Власти Москвы сообщили об открытии 80% предприятий сферы услуг и 70% магазинов,
2020-06-09,Белоруссия настаивает на пересмотре цен на газ из России,
2020-06-09,Портфель заказов Boeing сократился до минимума с 2013 года,
2020-06-09,Honda подверглась хакерской атаке вымогателей,
2020-06-09,За нерабочий апрель совокупные доходы российских регионов упали на 29%,
2020-06-10,Tele2 представил ФАС экономическое обоснование повышения тарифов,
2020-06-10,"ФРС США сохранила ставку на уровне 0–0,25%",
2020-06-10,Росстат зафиксировал нулевую недельную инфляцию,
2020-06-10,IATA: коммерческие межконтинентальные перелеты вряд ли возобновятся до четвертого квартала,
2020-06-10,Акции птицефабрики в Коми вернут в госсобственность,
2020-06-11,Facebook создал многомиллионный фонд для покупки стартапов,
2020-06-11,Власти Подмосковья объявили о снятии большинства ограничений,
2020-06-11,Цена нефти Brent опускалась ниже $38,
2020-06-11,Правительство расширило меры поддержки безработных,
2020-06-12,«Газпром» и Газпромбанк назвали незаконной смену руководства Белгазпромбанка,
2020-06-13,Бизнес попросил Мишустина устранить коллизию с ОКВЭД для получения господдержки,
2020-06-14,Роспотребнадзор рекомендовал отелям заселять в общие номера только близких людей,
2020-06-15,Законопроект о конвертируемом займе для стартапов внесли в Госдуму,
2020-06-15,Замглавы Минфина назвал введение НДД самой большой ошибкой в карьере,
2020-06-15,"Германия купила 23% акций компании CureVac, разрабатывающей вакцину от COVID-19",
2020-06-16,Розничные продажи в США показали в мае абсолютный рекорд,
2020-06-16,Миллер переизбран председателем совета директоров «Газпром нефти»,
2020-06-17,Выручка «Газпром-медиа» в первом квартале выросла на 5%,
2020-06-17,Reuters: выручка владельца TikTok выросла на 130%,
2020-06-17,Еврокомиссия проверит слияние Fiat Chrysler и PSA на соответствие антимонопольным правилам,
2020-06-18,«Ведомости»: Россия может расторгнуть налоговое соглашение с Кипром,
2020-06-18,Акции Nintendo достигли максимума с 2008 года,
2020-06-18,Новак: цена нефти в $40 за баррель отражает реальную ситуацию на рынке,
2020-06-18,ФАС проверяет причины роста цен на бензин на бирже,
2020-06-19,Минэкономики сообщило о замедлении падения ВВП России в мае,
2020-06-19,В России реальные зарплаты снизились в апреле на 2%,
2020-06-19,В Подмосковье фитнес-центры откроются 1 июля,
2020-06-19,Уровень безработицы в России превысил 6% впервые с 2012 года,
2020-06-19,Минфин разработал изменения в проведении закупок в строительстве,
2020-06-20,В топ-10 миллиардеров Forbes вошел индиец Мукеш Амбани,
2020-06-20,«Серебряный дождь» продолжит работу благодаря сбору денег среди слушателей,
2020-06-21,Минэнерго взяло на контроль ситуацию с утечкой топлива в Якутии,
2020-06-21,PepsiCo закрыла завод в Пекине из-за восьми случаев заражения COVID-19 среди сотрудников,
2020-06-21,"СМИ: Fiat Chrysler договорился с правительством Италии о получении помощи в размере €6,3 млрд",
2020-06-21,Саудовская Аравия выделила $4 млрд на поддержку туристического сектора,
2020-06-22,Ледокол «Арктика» начинает ходовые испытания,
2020-06-22,Губернатор Подмосковья анонсировал снятие ограничений с торговли с 25 июня,
2020-06-22,Объем проблемных кредитов россиян увеличился на 3%,
2020-06-23,«Яндекс» объявил о разделе совместных бизнесов со Сбербанком,
2020-06-23,Минэнерго России ожидает восстановления мирового спроса на газ ближе к осени,
2020-06-23,"Amazon запустила инвестфонд $2 млрд для поддержки технологий, снижающих парниковые выбросы",
2020-06-23,ФАС нашла технические нарушения в закупке «Газпромом» труб почти на 100 млрд руб,
2020-06-23,"Кудрин: для доверия россиян важно, чтобы НДФЛ больше не менялся",
2020-06-23,«Экозащита»: Германия отправила в Россию груз с 600 тоннами урановых отходов,
2020-06-24,«Яндекс» ожидает снижения выручки во втором квартале,
2020-06-25,Bloomberg: Германия готовит ответные меры на санкции США по «Северному потоку-2»,
2020-06-25,«РусГидро» ввело малую ГЭС на Северном Кавказе,
2020-06-25,Минздрав одобрил второй в России препарат от COVID-19,
2020-06-25,Минэнерго не исключает досрочного прекращения запрета на импорт топлива,
2020-06-25,Собянин: Москва пока не готова к полноценному открытию туризма,
2020-06-25,Occidental Petroleum спишет до $9 млрд активов из-за низких цен на нефть,
2020-06-25,"Минфин уточнил условия выдачи льготной ипотеки под 6,5%",
2020-06-25,Reuters: Sanofi готовит массовые сокращения сотрудников,
2020-06-27,S7 сообщила о сбое в системе регистрации на рейсы,
2020-06-28,К рекламному бойкоту присоединились Starbucks и PepsiCo,
2020-06-28,Прибыль китайских промышленных предприятий выросла на 6% впервые с начала года,
2020-06-29,В России в «нерабочий период» из-за COVID-19 сократили 680 тысяч человек,
2020-06-29,Airbus сократит производство на 40% на ближайшие два года,
2020-06-29,ВЭБ.РФ отсудил у главреда «Эксперта» 751 млн рублей,
2020-06-29,"Fitch ухудшило прогноз падения ВВП России до 5,8%",
2020-06-30,Количество корпоративных банкротств в США достигло рекорда с 2013 года,
2020-07-02,ВТБ восстановил работу мобильного приложения после сбоя,
2020-07-02,"Уровень безработицы в США снизился до 11,1%",
2020-07-02,"Минфин оценил потери из-за сделки ОПЕК+ в 1,2% ВВП",
2020-07-02,«Яндекс» и Delivery Club разбираются в ситуации с дракой курьеров,
2020-07-02,SuperJob: 43% россиян откажутся от летнего отпуска,
2020-07-03,Производитель мороженого «Радуга» опроверг наличие символики ЛГБТ,
2020-07-03,Владелец «Ведомостей» отрицает трудовой конфликт в редакции,
2020-07-03,Россия отменяет ряд ограничений на перевозку продуктов из Белоруссии,
2020-07-03,Бизнесмена из «списка Титова» Зотова отпустят под подписку о невыезде,
2020-07-03,РБК: программа мотивации директоров «Аэрофлота» прекращена из-за господдержки,
2020-07-03,Роспотребнадзор запретил выезд детей в лагеря за пределы своего региона,
2020-07-04,США получили замену российским ракетным двигателям РД-180,
2020-07-04,Глава ЕЦБ: мировая экономика сильно изменится под воздействием пандемии,
2020-07-05,"Минкомсвязь предложила сократить расходы на связь в школах, бизнес — на спутники",
2020-07-05,ВТБ хочет взыскать $185 млн со связанного с Курченко офшора Swisspro,
2020-07-06,Маркировка молочной продукции начнется в январе 2021 года,
2020-07-06,«Русал» предлагает созвать совет директоров «Норникеля» для обсуждения «беспрецедентного» штрафа,
2020-07-06,Нефтепровод Dakota Access остановят по требованию индейского племени,
2020-07-06,Пролив Дарданеллы перекрыт из-за лесного пожара,
2020-07-07,Lufthansa сокращает руководящие позиции на 20%,
2020-07-09,Выпуск сжиженного углеводородного газа в России обновил пятилетний минимум в мае,
2020-07-09,Чернышенко пообещал не рисковать здоровьем граждан при возобновлении авиасообщения,
2020-07-09,На поддержку российских IT-компаний выделят 20 млрд рублей,
2020-07-09,Siemens выделяет энергетический бизнес в отдельную компанию,
2020-07-09,В России запустят в производство не менее 3–4 вакцин от коронавируса,
2020-07-09,Прокуратура потребовала изменить правила перевозок авиакомпании iFly,
2020-07-10,"Разработчик электромобилей Rivian привлек $2,5 млрд инвестиций",
2020-07-10,Экономисты ВШЭ сообщили о начале восстановления реального сектора российской экономики,
2020-07-10,В июне бензин на АЗС подорожал ниже инфляции,
2020-07-10,Тиньков рассказал о пересадке костного мозга,
2020-07-13,Песков: в России уже реализуют идею повышения налогов для богатых,
2020-07-13,Путин подписал закон о льготах для бизнеса в Арктике,
2020-07-13,Google вкладывает $10 млрд в ИТ-сектор Индии,
2020-07-14,«Мосфильм» будет перечислять не менее 5% прибыли в бюджет,
2020-07-14,Крым отменил карантин для приезжающих из-за границы,
2020-07-14,Bloomberg: топ-менеджерам обанкротившихся компаний выделили бонусы на $131 млн,
2020-07-14,Решение о досрочной сдаче моста через Лену еще не принято,
2020-07-14,«Перекресток» обещал учесть «полярные мнения» о рекламе с Собчак,
2020-07-15,СМИ: Red Bull сменила руководство бизнеса в США из-за реакции на Black Lives Matter,
2020-07-16,РСПП сообщил о проблемах при въезде в Россию иностранных специалистов,
2020-07-16,США вновь продлили срок завершения сделок с группой ГАЗ,
2020-07-16,Дефицит бюджета регионов во время пандемии вырос до 147 млрд рублей,
2020-07-16,Глава РФПИ ответил на обвинения в попытке кражи данных о вакцине от COVID-19,
2020-07-16,В Госдуму внесен законопроект о снижении налогов для IT-отрасли,
2020-07-16,Медведев назвал «борзостью» санкции США против «Северного потока-2»,
2020-07-16,Цена на газ для населения с 1 августа вырастет на 3%,
2020-07-16,"American Airlines создала альянс с JetBlue, чтобы справиться с последствиями пандемии",
2020-07-17,S&P подтвердило суверенные рейтинги России со стабильным прогнозом,
2020-07-17,Минтруд: официально безработных в России больше 3 млн,
2020-07-17,РЖД запустила скоростные «Ласточки» между Москвой и Костромой,
2020-07-17,"Минэкономики оценило падение ВВП России в июне в 6,4%",
2020-07-17,«Газпром» обжаловал решение ФАС о крупнейшей закупке труб на 100 млрд рублей,
2020-07-17,Росстат сообщил о снижении реальных доходов россиян на 8%,
2020-07-18,Посол сообщил о запрете торговать товарами из Армении на рынке «Фуд Сити»,
2020-07-19,Один из крупнейших инвестфондов Европы прогнозирует наступление «матери всех рецессий»,
2020-07-20,Fitch: пандемия привела к всплеску корпоративных дефолтов в мире,
2020-07-20,Минкомсвязь хочет запретить операторам давать абонентам номера других операторов,
2020-07-20,"Путин подписал закон, позволяющий получить патент онлайн",
2020-07-20,Россия и Узбекистан могут совместно создать лоукостер,
2020-07-21,Арбитражный суд признал Марийский НПЗ банкротом,
2020-07-21,Coca-Cola отчиталась о худшем падении продаж за десятилетие,
2020-07-22,«Ленту» перерегистрируют с кипрского офшора в Россию,
2020-07-22,Акционер «Синары» Пумпянского купил Ярцевский завод,
2020-07-22,Госдума приняла закон об электронных курительных устройствах,
2020-07-22,В связи с «дизельгейтом» обыски прошли в офисах FCA и CNH Industrial,
2020-07-22,Прокуратура Германии арестовала трех топ-менеджеров Wirecard,
2020-07-23,American Airlines заложила слоты в аэропортах и собственный бренд,
2020-07-23,"Twitter завершил квартал с убытком в $1,23 млрд",
2020-07-23,"В Санкт-Петербурге 27 июля откроются кафе, рестораны и ТЦ",
2020-07-24,Минтруд разрешил компаниям возмещать расходы на маски за счет страховых взносов,
2020-07-24,Новак по поручению Мишустина встретился с врио губернатора Хабаровского края,
2020-07-24,ВТО ожидает еще более существенных для мировой экономики последствий пандемии,
2020-07-25,Белоруссия ждет от «Газпрома» предложений по новому составу правления Белгазпромбанка,
2020-07-26,Тиньков создаст фонд борьбы с раком крови,
2020-07-27,Титов: еще трое бизнесменов из «лондонского списка» готовы вернуться в Россию,
2020-07-27,Google продлила удаленку до июля 2021 года,
2020-07-28,IATA: пассажирские авиаперевозки в мире восстановятся не раньше 2024 года,
2020-07-28,Акции Kodak выросли на 300% на новостях о планах компании заняться фармацевтикой,
2020-07-29,Бизнес пожаловался на штрафы из-за найма самозанятых,
2020-07-29,Чистый убыток General Electric во втором квартале составил $2 млрд,
2020-07-29,Remington подала заявку на банкротство во второй раз с 2018 года,
2020-07-29,"Reuters: Rolls-Royce выпустит акции на $1,9 млрд в условиях снижения доходов",
2020-07-30,Тарифы ЖКХ будут снижены для миллиона жителей Подмосковья с 1 августа,
2020-07-30,Мантуров призвал кредиторов не «рейдерить» торговые центры в условиях кризиса,
2020-07-30,"Ресторанный рынок в России снизился на 42,9%",
2020-08-02,"Siemens Healthineers купит Varian за $16,4 млрд",
2020-08-03,Ритейлеры пожаловались на трудности с получением акцизных марок для алкоголя,
2020-08-03,Российский союз автостраховщиков отрицает возможность утечки данных автовладельцев,
2020-08-03,«Газпром» обжалует штраф Польши из-за «Северного потока-2»,
2020-08-04,WSJ: власти США проверят Kodak после одобрения ей кредита в $765 млн,
2020-08-04,Медиаменеджер Гордеев ушел с «Матч ТВ» и «Матч Премьер»,
2020-08-04,ФАС попросила Минтранс обратить внимание на продажу авиабилетов в закрытые страны,
2020-08-05,"Компании Teladoc и Livongo, занимающиеся онлайн-медициной, объединились на $18,5 млрд",
2020-08-05,Росстат третью неделю подряд зафиксировал нулевую инфляцию,
2020-08-05,В июле британские автопродажи выросли впервые с начала года,
2020-08-06,Поезда в Абхазию отправятся 7 августа из Москвы и Санкт-Петербурга,
2020-08-06,Трамп обяжет федеральные власти закупать лекарства у американских компаний,
2020-08-06,"Минэкономики прогнозирует в августе дефляцию до 0,2%",
2020-08-07,АЛРОСА добыла крупнейший в России цветной алмаз,
2020-08-09,Планируемые сокращения сотрудников в британских компаниях выросли в пять раз,
2020-08-10,Кудрин спрогнозировал рост доли госсектора в экономике из-за пандемии,
2020-08-13,Минтруд предложил повысить прожиточный минимум на 625 рублей,
2020-08-16,Unilever перестанет называть свой соус «Цыган»,
2020-08-17,ЦБ ожидает пика инфляции в феврале–марте,
2020-08-17,В России в июле замедлилось сокращение промпроизводства,
2020-08-17,Ryanair сократит перевозки на 20% в сентябре и октябре из-за новых вспышек COVID-19,
2020-08-18,Бизнес предложил Мишустину создать госагентство информационных технологий,
2020-08-18,«Газпром» не будет отказываться от дивидендов из-за роста долговой нагрузки,
2020-08-18,En+ Group отказалась от выплат дивидендов в этом году,
2020-08-19,"Глава «Росатома» Лихачев задекларировал 74,5 млн рублей дохода",
2020-08-19,Инфляция в России вернулась к нулевому уровню,
2020-08-20,Brand Finance назвал самые дорогие российские бренды,
2020-08-20,"ВВП России в первом полугодии снизился на 3,6%",
2020-08-21,Глава РЖД отчитался о доходах за 2019 год,
2020-08-21,Дефицит бюджета Татарстана в первом полугодии превысил 25 млрд рублей,
2020-08-25,Прибыль «Роскосмоса» в 2019 году выросла на 56%,
2020-08-25,Входящие в Lufthansa Group авиакомпании отменили сборы за перебронирование до конца года,
2020-08-25,Продажи домов в США достигли рекорда с 2006 года,
2020-08-26,"В Москве прожиточный минимум повышен до 17,8 тыс. рублей",
2020-08-26,Инфляция в России вторую неделю подряд остается нулевой,
2020-08-26,В центре Минска снова собираются протестующие,
2020-08-27,Титов предложил сократить число форм отчетности для бизнеса на «гильотине»,
2020-08-27,ВБ приостановил публикацию рейтинга Doing Business из-за нарушений при сборе данных,
2020-08-27,Суд восстановил права бизнесмена Исаева на 50% «Востокугля»,
2020-08-27,"Экономика США по итогам второго квартала сократилась на 31,7%",
2020-08-27,"Continental призналась, что была «опорой» нацистского режима",
2020-08-28,Coca-Cola проведет масштабную реорганизацию после рекордного падения продаж,
2020-08-28,"ЦБ ожидает роста реальных зарплат до 2,5% по итогам года",
2020-08-30,Данные карт клиентов ВТБ из Joom попали в открытый доступ,
2020-08-31,В июле падение грузовых авиаперевозок в мире замедлилось,
2020-09-01,Чернышенко оценил затраты операторов фиксированной связи на «Доступный интернет»,
2020-09-01,Немецкий парламент проведет собственное расследование банкротства Wirecard,
2020-09-01,Минэкономики предложило разрешить проведение собраний акционеров через интернет,
